10 premier concurrents;2020-12-25 23:59:59;1 Etape;12;True;10;False
10 premier concurrents;2020-12-25 23:59:59;2 Etapes ;24;True;10;False
10 premier concurrents;2020-12-25 23:59:59;3 Etapes;36;True;10;False
10 premier concurrents;2020-12-25 23:59:59;4 Etapes avec t-shirt;48;True;10;True
Zone 2;2020-12-26 23:59:59;1 Etape;0;True;;False
Zone 2;2020-12-26 23:59:59;2 Etapes;0;True;;False
Zone 2;2020-12-26 23:59:59;3 Etapes;0;True;;False
Zone 2;2020-12-26 23:59:59;4 Etapes avec t-shirt;0;True;;True
Inscription sur place;2020-12-27 23:59:59;1 Etape;25;False;;False
Inscription sur place;2020-12-27 23:59:59;2 Etape;35;False;;False
Inscription sur place;2020-12-27 23:59:59;3 Etape;40;False;;False
Inscription sur place;2020-12-27 23:59:59;4 Etapes avec t-shirt;50;False;;True
Inscription après une étape;2020-12-28 23:59:59;1 Etape;20;True;;False
Inscription après une étape;2020-12-28 23:59:59;2 Etapes;30;True;;False
Inscription après une étape;2020-12-28 23:59:59;3 Etapes;35;True;;False
Inscription après deux étapes;2020-12-29 23:59:59;1 Etape;20;True;;False
Inscription après deux étapes;2020-12-29 23:59:59;2 Etape;30;True;;False
Inscription après trois étapes;2020-12-30 23:59:59;1 Etape;20;True;;False
